,dist,temp,dTdP,pco20,gamma,popDeath,declineTime,peakPopList,carryCapList,anthroPopList,tempError,timeLeftMin,percentDone,timeElapsedMinutes,logGamma,logdTdP,logpco20,logpopDeath,logdeclineTime,logAnthroPop
137,0.9503846153846154,316.73974358974357,0.050530089238041934,104.888,0.34739436351153824,962.9659878,42.08624229979455,7.4793826,10.0,28.78572898799454,0.13725641025644109,89.54946350536878,8.62,8.447322996457418,-0.45917723227836965,-1.29644993478067,2.0207258043814376,2.9836109480054924,1.6241401511859757,1.4591772322783696
138,0.9503846153846154,319.30384615384617,0.03518905013832523,164.824,0.24192471970098597,887.0815401,47.096509240246405,8.0368587,10.0,41.33517241379796,0.09015384615383937,90.75678263560174,8.69,8.637350138028463,-0.6163197534602195,-1.4535924559625197,2.217020449525406,2.947963541802288,1.6729887187237937,1.6163197534602194
139,0.9503846153846154,321.8679487179487,0.02585886978973939,253.298,0.1777797298044583,755.1316334,55.11293634496906,8.465549918999999,10.0,56.24938237333974,0.2060512820513054,91.95578318436941,8.75,8.817677839597065,-0.7501177581909906,-1.587390460693291,2.403631760685167,2.8780226637831947,1.741253550282319,1.7501177581909906
140,0.9503846153846154,324.43205128205125,0.02104343040290163,370.662,0.1446735840199487,643.1979701,62.12731006160175,8.771175161999999,10.0,69.121118881116,0.31494871794876644,93.16955195975673,8.81,9.001247425874075,-0.8396107595628751,-1.6768834620651754,2.5689780647556737,2.8083446651313153,1.793282550286331,1.839610759562875
141,0.9503846153846154,326.99615384615385,0.016525339529829798,493.182,0.11361170926757987,550.2983704,70.14373716632463,8.967800484,10.0,88.01909648633014,0.00584615384616427,94.07485595315067,8.88,9.167962257067362,-0.9445769062285727,-1.781849608730873,2.6930072174708775,2.7405982267356785,1.8459889008023342,1.9445769062285727
142,0.9503846153846154,329.5602564102564,0.013976290996519777,690.455,0.09608700060107347,450.2962321,81.1663244353183,9.160274502,10.0,104.07235044745774,0.4077435897436317,95.15937447895496,8.94,9.342464395364125,-1.0173353631024518,-1.8546080656047519,2.8391353789486375,2.653498312974426,1.9093758796667262,2.0173353631024518
143,0.9503846153846154,332.124358974359,0.011375105247604135,896.695,0.07820384857727843,377.7397894,92.1889117043122,9.290738527,10.0,127.87094474152809,0.4386410256410045,96.2219001257861,9.0,9.516451660792033,-1.1067718738615386,-1.9440445763638388,2.952644748125773,2.577192733852442,1.964678688133632,2.106771873861539
144,0.9503846153846154,334.6884615384615,0.010231315553971013,1138.661,0.0703402944335507,315.8119215,104.2135523613963,9.395181821,10.0,142.16602419039958,0.4965384615384778,97.24891964600663,9.06,9.688533230622609,-1.1527958181260036,-1.9900685206283037,3.0563944459903487,2.499428520048285,2.0179242000868567,2.1527958181260036
145,0.9503846153846154,337.25256410256407,0.00905669126464012,1380.195,0.06226475244440082,271.7702427,115.2361396303902,9.467323633,10.0,160.6045090909095,0.22743589743595294,98.21087687196788,9.12,9.855668981870016,-1.2057577342540577,-2.043030436756358,3.1399404497644134,2.434201902217367,2.0615887011416882,2.2057577342540577
146,0.9503846153846154,339.81666666666666,0.008278724634076966,1672.963,0.05691623185927913,233.1687076,129.26488706365512,9.536165803,10.0,175.69680341320213,0.15133333333335486,99.10614467842404,9.19,10.029572399457296,-1.2447638601143276,-2.0820365626166275,3.223486336017073,2.367670265518643,2.1114805710873257,2.244763860114327
147,0.9503846153846154,342.3807692307692,0.00708802312142162,2073.921,0.04873015895977364,185.8610913,150.30800821355228,9.60559123,10.0,205.21172541741393,0.5822307692308186,100.03063924505904,9.25,10.195960474014282,-1.3122021719300139,-2.149474874432314,3.316792209180545,2.2691884828202826,2.1769821198437573,2.312202171930014
148,0.9503846153846154,344.9448717948718,0.006307074323650252,2394.137,0.04336113597509548,156.0233079,171.35112936344967,9.649827413,10.0,230.62126429859936,0.13712820512819235,100.87540221214293,9.31,10.355606953303019,-1.3628993486732413,-2.2001720511755414,3.379148998468741,2.1931894812790205,2.23388697118023,2.362899348673241
149,0.9503846153846154,347.50897435897434,0.005143418529976514,2896.906,0.03536100239358853,110.3692982,232.47638603696078,9.712182244,10.0,282.7974130567392,0.4680256410256334,101.76157462503694,9.38,10.533255020777384,-1.4514754323514465,-2.288748134853747,3.461934403266025,2.042848281031931,2.366378845678976,2.4514754323514465
150,0.9503846153846154,350.0730769230769,0.0036452686548755528,3511.401,0.025061222002269425,53.42734369,771.9872504132939,9.785010760999999,10.0,399.0228409091323,0.6419230769230921,102.76969732659012,9.44,10.712742300828298,-1.6009977563305595,-2.43827045883286,3.545480428480683,1.7277635823907909,2.8876101278993684,2.6009977563305595
